f1,precision,recall,balanced_accuracy,false_alert_rate,tn,fp,fn,tp,method,threshold,seed,severity
0.8723473718576559,0.8936454849498328,0.8520408163265306,0.8881992854230178,0.07564224548049477,1943,159,232,1336,Calibrated Logistic Fusion,0.63,1,0.6
0.9006399461098012,0.9543183440399714,0.8526785714285714,0.911115689139595,0.030447193149381543,2038,64,231,1337,Temporal Logistic Fusion,0.73,1,0.6
0.8823327615780446,0.9547141796585004,0.8201530612244898,0.8955665401269928,0.029019980970504282,2041,61,282,1286,Temporal Extra Trees,0.55,1,0.6
0.882312925170068,0.9453352769679301,0.8271683673469388,0.8957440314375036,0.0356803044719315,2027,75,271,1297,Temporal Random Forest,0.49,1,0.6
0.875209100033456,0.9204785362420831,0.8341836734693877,0.8902126740325055,0.053758325404376785,1989,113,260,1308,Temporal HistGradientBoosting,0.41000000000000003,1,0.6
0.8699106256206555,0.9043358568479009,0.8380102040816326,0.8859413532301599,0.06612749762131304,1963,139,254,1314,Camera Only,0.64,1,0.8
0.7801683816651076,0.7632702867602197,0.7978316326530612,0.8066227620924677,0.1845861084681256,1714,388,317,1251,Accelerometer Only,0.55,1,0.8
0.8433806146572104,0.7857929515418502,0.9100765306122449,0.8625073423755801,0.18506184586108468,1713,389,141,1427,Mean Late Fusion,0.44,1,0.8
0.8516047028916428,0.8486383787207094,0.8545918367346939,0.8704452999087361,0.1137012369172217,1863,239,228,1340,Max OR Fusion,0.73,1,0.8
0.8303030303030303,0.7909930715935335,0.8737244897959183,0.8507537767723645,0.17221693625118933,1740,362,198,1370,Min Agreement Fusion,0.3,1,0.8
0.8407079646017699,0.8333333333333334,0.8482142857142857,0.8608340695935843,0.12654614652711704,1836,266,238,1330,Product Agreement Fusion,0.24000000000000002,1,0.8
0.8505250154416306,0.8245508982035928,0.8781887755102041,0.8693988596865958,0.13939105613701236,1809,293,191,1377,Naive Independence,0.8,1,0.8
0.8356807511737089,0.8811881188118812,0.7946428571428571,0.8573594875628653,0.07992388201712655,1934,168,322,1246,Rule AND Tuned,0.48000000000000004,1,0.8
0.8516047028916428,0.8486383787207094,0.8545918367346939,0.8704452999087361,0.1137012369172217,1863,239,228,1340,Rule OR Tuned,0.73,1,0.8
0.8679738562091504,0.8900804289544236,0.8469387755102041,0.884458921532457,0.0780209324452902,1938,164,240,1328,Calibrated Logistic Fusion,0.63,1,0.8
0.8959674686546933,0.9558929862617498,0.8431122448979592,0.9070461319637275,0.029019980970504282,2041,61,246,1322,Temporal Logistic Fusion,0.75,1,0.8
0.884167237834133,0.9555555555555556,0.8227040816326531,0.897079919027554,0.028544243577545196,2042,60,278,1290,Temporal Extra Trees,0.55,1,0.8
0.8917283120376597,0.9431009957325747,0.8456632653061225,0.9038021369346978,0.038058991436726926,2022,80,242,1326,Temporal Random Forest,0.47000000000000003,1,0.8
0.884896872920825,0.9248956884561892,0.8482142857142857,0.8984173236373522,0.05137963843958135,1994,108,238,1330,Temporal HistGradientBoosting,0.37,1,0.8
0.866374957926624,0.917320028510335,0.8207908163265306,0.8828026393716383,0.05518553758325404,1986,116,281,1287,Camera Only,0.67,1,1.0
0.7735557615075688,0.750149790293589,0.798469387755102,0.8000434474455815,0.1983824928639391,1685,417,316,1252,Accelerometer Only,0.54,1,1.0
0.839775745057539,0.7814387699066447,0.9075255102040817,0.8590910139031827,0.18934348239771645,1704,398,145,1423,Mean Late Fusion,0.44,1,1.0
0.8472222222222222,0.83875,0.8558673469387755,0.8665635497776656,0.12274024738344434,1844,258,226,1342,Max OR Fusion,0.73,1,1.0
0.8244182532487156,0.7834577828834004,0.8698979591836735,0.845272481019049,0.17935299714557565,1725,377,204,1364,Min Agreement Fusion,0.3,1,1.0
0.8365413993278338,0.8029325513196481,0.8730867346938775,0.8566194853298122,0.1598477640342531,1766,336,199,1369,Product Agreement Fusion,0.19,1,1.0
0.8457283343577136,0.8161328588374852,0.8775510204081632,0.8650362142954232,0.14747859181731685,1792,310,192,1376,Naive Independence,0.8,1,1.0
0.8303273213092852,0.8716690042075736,0.7927295918367347,0.8528348244626109,0.08705994291151284,1919,183,325,1243,Rule AND Tuned,0.47000000000000003,1,1.0
0.8472222222222222,0.83875,0.8558673469387755,0.8665635497776656,0.12274024738344434,1844,258,226,1342,Rule OR Tuned,0.73,1,1.0
0.8651132261240565,0.8911426639621366,0.8405612244897959,0.8819837521116914,0.07659372026641294,1941,161,250,1318,Calibrated Logistic Fusion,0.65,1,1.0
0.8934147997284454,0.9550072568940493,0.8392857142857143,0.9048949979611255,0.029495718363463368,2040,62,252,1316,Temporal Logistic Fusion,0.75,1,1.0
0.8907791765906771,0.9547775346462436,0.8348214285714286,0.9026628551039826,0.029495718363463368,2040,62,259,1309,Temporal Extra Trees,0.53,1,1.0
0.8905355338497811,0.9436117059243397,0.8431122448979592,0.9027644954270957,0.03758325404376784,2023,79,246,1322,Temporal Random Forest,0.48000000000000004,1,1.0
0.8871287128712871,0.9192886456908345,0.8571428571428571,0.9005029223868424,0.056137012369172214,1984,118,224,1344,Temporal HistGradientBoosting,0.39,1,1.0
0.8912858359352824,0.9127906976744186,0.8707709373266778,0.906134298616537,0.05850234009360374,2414,150,233,1570,Camera Only,0.66,2,0.0
0.7600633914421553,0.8868343195266272,0.6650027731558513,0.8026651931301878,0.05967238689547582,2411,153,604,1199,Accelerometer Only,0.6900000000000001,2,0.0
0.8876080691642652,0.8411122144985105,0.9395452024403772,0.9073701051203447,0.12480499219968799,2244,320,109,1694,Mean Late Fusion,0.44,2,0.0
0.8915805022156573,0.9538558786346397,0.8369384359400999,0.9042336485472731,0.02847113884555382,2491,73,294,1509,Max OR Fusion,0.85,2,0.0
0.8152941176470588,0.867877269881027,0.7687188019966722,0.8432127551325015,0.08229329173166927,2353,211,417,1386,Min Agreement Fusion,0.39,2,0.0
0.8273596176821983,0.8964401294498382,0.7681641708264004,0.8528808373632782,0.062402496099843996,2404,160,418,1385,Product Agreement Fusion,0.31,2,0.0
0.9001097694840834,0.8908202064095601,0.9095951192457016,0.9156009917601362,0.07839313572542901,2363,201,163,1640,Naive Independence,0.8200000000000001,2,0.0
0.7632183908045977,0.9355877616747182,0.6444814198557959,0.806640085902937,0.031201248049921998,2484,80,641,1162,Rule AND Tuned,0.64,2,0.0
0.8915805022156573,0.9538558786346397,0.8369384359400999,0.9042336485472731,0.02847113884555382,2491,73,294,1509,Rule OR Tuned,0.85,2,0.0
